id,price
0,12345.67
1,12345.67
2,12345.67
3,12345.67
4,12345.67
5,12345.67
6,12345.67
7,12345.67
8,12345.67
9,12345.67
10,12345.67
11,12345.67
12,12345.67
13,12345.67
14,12345.67
15,12345.67
16,12345.67
17,12345.67
18,12345.67
19,12345.67
20,12345.67
21,12345.67
22,12345.67
23,12345.67
24,12345.67
25,12345.67
26,12345.67
27,12345.67
28,12345.67
29,12345.67
30,12345.67
31,12345.67
32,12345.67
33,12345.67
34,12345.67
35,12345.67
36,12345.67
37,12345.67
38,12345.67
39,12345.67
40,12345.67
41,12345.67
42,12345.67
43,12345.67
44,12345.67
45,12345.67
46,12345.67
47,12345.67
48,12345.67
49,12345.67
50,12345.67
51,12345.67
52,12345.67
53,12345.67
54,12345.67
55,12345.67
56,12345.67
57,12345.67
58,12345.67
59,12345.67
60,12345.67
61,12345.67
62,12345.67
63,12345.67
64,12345.67
65,12345.67
66,12345.67
67,12345.67
68,12345.67
69,12345.67
70,12345.67
71,12345.67
72,12345.67
73,12345.67
74,12345.67
75,12345.67
76,12345.67
77,12345.67
78,12345.67
79,12345.67
80,12345.67
81,12345.67
82,12345.67
83,12345.67
84,12345.67
85,12345.67
86,12345.67
87,12345.67
88,12345.67
89,12345.67
90,12345.67
91,12345.67
92,12345.67
93,12345.67
94,12345.67
95,12345.67
96,12345.67
97,12345.67
98,12345.67
99,12345.67
100,12345.67
101,12345.67
102,12345.67
103,12345.67
104,12345.67
105,12345.67
106,12345.67
107,12345.67
108,12345.67
109,12345.67
110,12345.67
111,12345.67
112,12345.67
113,12345.67
114,12345.67
115,12345.67
116,12345.67
117,12345.67
118,12345.67
119,12345.67
120,12345.67
121,12345.67
122,12345.67
123,12345.67
124,12345.67
125,12345.67
126,12345.67
127,12345.67
128,12345.67
129,12345.67
130,12345.67
131,12345.67
132,12345.67
133,12345.67
134,12345.67
135,12345.67
136,12345.67
137,12345.67
138,12345.67
139,12345.67
140,12345.67
141,12345.67
142,12345.67
143,12345.67
144,12345.67
145,12345.67
146,12345.67
147,12345.67
148,12345.67
149,12345.67
150,12345.67
151,12345.67
152,12345.67
153,12345.67
154,12345.67
155,12345.67
156,12345.67
157,12345.67
158,12345.67
159,12345.67
160,12345.67
161,12345.67
162,12345.67
163,12345.67
164,12345.67
165,12345.67
166,12345.67
167,12345.67
168,12345.67
169,12345.67
170,12345.67
171,12345.67
172,12345.67
173,12345.67
174,12345.67
175,12345.67
176,12345.67
177,12345.67
178,12345.67
179,12345.67
180,12345.67
181,12345.67
182,12345.67
183,12345.67
184,12345.67
